producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Facicam im solución inyectable 2 ampolletas 40mg,FACICAM,PIROXICAM,REUMATOLOGÍA,7501314703159,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Fosamax 4 comprimidos 70mg,FOSAMAX,ÁCIDO ALENDRÓNICO,REUMATOLOGÍA,7501326001991,ORGANON COMERCIALIZADORA,ACTIVO
Xl-3 vr 3/50/375mg tabletas 24,XL-3,"AMANTADINA, CLORFENAMINA, PARACETAMOL",SISTEMA RESPIRATORIO,650240017100,GENOMMA LAB,ACTIVO
Angiotrofin retard 10 tabletas 240mg,ANGIOTROFIN,DILTIAZEM,CARDIOLOGÍA,7501089802064,ARMSTRONG,ACTIVO
Stadium 50mg ampolleta 3,STADIUM,DEXKETOPROFENO,REUMATOLOGÍA,7501070635763,SANFER,ACTIVO
Bojidar 120mg comprimidos con 7,BOJIDAR,ETORICOXIB,REUMATOLOGÍA,7501125189104,PISA,ACTIVO
Vesicare 5mg tabletas 10,VESICARE,SOLIFENACINA,UROLOGÍA,7730979097628,ASOFARMA,ACTIVO
Fluxol 1 solución 7.5/2mg/5/120 ml,FLUXOL,"AMBROXOL, SALBUTAMOL",NEUMOLOGÍA,7502009740282,MAVER,ACTIVO
Diwali 30 tabletas 500mg,DIWALI,VALPROATO SEMISÓDICO,NEUROLOGÍA,8903855074313,LABORATORIOS TORRENT,ACTIVO
Cefaxona im frasco ámpula 1g/3.5ml,CEFAXONA,CEFTRIAXONA,INFECTOLOGÍA,7501125106231,PISA,ACTIVO
Apometglu 60 tabletas 500/2.5 mg,APOMETGLU,"GLIBENCLAMIDA, METFORMINA",DIABETES,7501277089062,APOTEX,ACTIVO
Tramadol/paracetamol 37.5/325 mg 20 tabletas,,"PARACETAMOL, TRAMADOL",ANALGÉSICOS,7501109753888,QUÍMICA Y FARMACIA,ACTIVO
Lombrix 1 tableta 500mg,LOMBRIX,MEBENDAZOL,SISTEMA DIGESTIVO,7501299303511,LIOMONT OTC,ACTIVO
Deflox suspensión frasco 120ml,DEFLOX,DICLOFENACO,REUMATOLOGÍA,7501298212371,MERCK,ACTIVO
Iltux 2 hct 14 tabletas 40/12.5mg,ILTUX,"HIDROCLOROTIAZIDA, OLMESARTÁN MEDOXOMILO",CARDIOLOGÍA,7841141003917,ASOFARMA,ACTIVO
Amlodipino 10 tabletas 5 mg,,AMLODIPINO,CARDIOLOGÍA,7502216804654,AVIVIA PHARMA,ACTIVO
DIAZEPAM TEMPUS 10MG C/20 TAB,TEMPUS PHARMA,DIAZEPAM,NEUROLOGÍA,7501249607362,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Calc-tose alimento en polvo sabor a chocolate lata 400 gr,CAL-C-TOSE,"ÁCIDO FÓLICO, VITAMINA C, VITAMINA D3",SUPLEMENTO ALIMENTICIO,7503013040207,RECKITT BECKINSER,ACTIVO
Transvital capsula 30,TRANSVITAL,"ÁCIDO FÓLICO, DHA, EPA",MULTIVITAMÍNICOS,7502235760122,EXELTIS,ACTIVO
Arluy 30 cápsulas 200mg,ARLUY,MEBEVERINA,GASTROENTEROLOGÍA,7501871720750,ASOFARMA,ACTIVO
Motrin pediátrico suspensión 15ml,MOTRIN,IBUPROFENO,ANALGÉSICOS,7501109902637,KENVUE,ACTIVO
Klodex clonazepam solución frasco 2.5mg/ml 10ml,KLODEX,CLONAZEPAM,NEUROLOGÍA,7501249607195,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Synthroid 137mcg tabletas 30,SYNTHROID,LEVOTIROXINA SÓDICA,ENDOCRINOLOGÍA,7501033959011,ABBOTT,ACTIVO
Acetafen 12 tabletas 750 mg,ACETAFEN,PARACETAMOL,ANALGÉSICOS,7502003380149,RAYERE,ACTIVO
Cartigen 50 mg caja 30 cápsulas,CARTIGEN,DIACEREÍNA,REUMATOLOGÍA,7501250813363,RIMSA,ACTIVO
Mexapin 1 suspensión 125mg/5/60 ml,MEXAPIN,AMPICILINA,INFECTOLOGÍA,7503001007120,WANDEL,ACTIVO
Virlix 10mg tabletas 10,VIRLIX,CETIRIZINA,ALERGOLOGÍA,7501088508288,MOKSHA8,ACTIVO
Criam 30 tabletas 600mg,CRIAM,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501384542245,PSICOFARMA,ACTIVO
Antiflu-des 24 cápsulas,ANTIFLU-DES,"AMANTADINA, CLORFENAMINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501088509773,CHINOIN,ACTIVO
Flaxendol 12 tabletas 550mg,FLAXENDOL,NAPROXENO,ANALGÉSICOS,7501478315397,VITAE LABORATORIOS S A DE C V,ACTIVO
Biodezil 30 tabletas 25mg,BIODEZIL,CAPTOPRIL,CARDIOLOGÍA,7501563310146,BIORESEARCH,ACTIVO
Menirol 28 tabletas 10 mg/20 mg,MENIROL,"EZETIMIBA, SIMVASTATINA",CARDIOLOGÍA,7501258214766,SERRAL,ACTIVO
Guaxoquim jarabe frasco 140ml,GUAXOQUIM,"GUAIFENESINA, OXOLAMINA",NEUMOLOGÍA,7502223112193,LABORATORIOS QUIMPHARMA,ACTIVO
Bactropin - f 14 tabletas 160/800 mg,BACTROPIN,"SULFAMETOXAZOL, TRIMETOPRIMA",INFECTOLOGÍA,7502001169289,SON'S,ACTIVO
Nazil ofteno 15 ml solución gotero nafazolina 1 mg,NAZIL,NAFAZOLINA,OFTALMOLOGÍA,736085132069,SOPHIA,ACTIVO
