producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Xeletec 200mg capsula 20,XELETEC,CELECOXIB,REUMATOLOGÍA,7502226295503,ALPHARMA,ACTIVO
Promotion 10 tabletas 15 mg,PROMOTION,MELOXICAM,REUMATOLOGÍA,7502003386226,RAYERE,ACTIVO
Levigrix solución frasco 200ml,LEVIGRIX,LEVOCETIRIZINA,SISTEMA RESPIRATORIO,7501300420688,SIEGFRIED RHEIN,ACTIVO
Psilax polvo 1 sobre 400g,PSILAX,PLANTAGO PSYLLIUM,SISTEMA DIGESTIVO,7503002615102,NUCITEC,ACTIVO
Enalapril 30 tabletas 10mg,,ENALAPRIL,CARDIOLOGÍA,7502216792845,ULTRA LABORATORIOS,ACTIVO
Criam 20 tabletas 400mg,CRIAM,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501384545147,PSICOFARMA,ACTIVO
Dolprofen 2 frasco 60 tabletas 400 mg,DOLPROFEN,IBUPROFENO,ANALGÉSICOS,780083148850,COLLINS,ACTIVO
Haloperidol 2o tabletas 5 mg,,HALOPERIDOL,NEUROLOGÍA,7501384546625,PSICOFARMA,ACTIVO
Paramix 0.6 g oral 30 ml suspension,PARAMIX,NITAZOXANIDA,INFECTOLOGÍA,7501299301401,LIOMONT RX,ACTIVO
Flonorm 14 tabletas 400mg,FLONORM,RIFAXIMINA,GASTROENTEROLOGÍA,8020030053502,ALFASIGMA,ACTIVO
Atemperator lp 30 tabletas 200mg,ATEMPERATOR,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501089801371,ARMSTRONG,ACTIVO
Xuzal oral 200 ml 200 ml solución frasco levocetirizina 0.5 ml,XUZAL,LEVOCETIRIZINA,SISTEMA RESPIRATORIO,7501088509117,MOKSHA8,ACTIVO
Briviact 50mg tabletas 28,BRIVIACT,BRIVARACETAM,NEUROLOGÍA,5413787997978,UCB DE MEXICO S.A. DE C.V.,ACTIVO
Lomotil 8 tabletas 2mg,LOMOTIL,LOPERAMIDA,SISTEMA DIGESTIVO,7501057002663,KENVUE,ACTIVO
"STALEVO LEVODOPA, CARBIDOPA, ENTACAPONA 150/37.5/200 MG CON 30 TABLETAS",STALEVO,"CARBIDOPA, ENTACAPONA, LEVODOPA",NEUROLOGÍA,7502216935549,SANDOZ,ACTIVO
Sub z 30 tabletas 5 mg,SUB Z,MELATONINA,INDUCTORES DE SUEÑO,7501293202193,DIGRIMEX S.A. DE C.V.,ACTIVO
Montelukast 20 comprimidos 10mg,ANTIBIOTICOS DE MEXICO,MONTELUKAST,NEUMOLOGÍA,7501349024991,ANTIBIOTICOS DE MEXICO,ACTIVO
Femisan 3d 3 cápsulas 800/100mg,FEMISAN,"CLINDAMICINA, KETOCONAZOL",GINECOLOGÍA,7501123001682,BAUSCH HEALTH,ACTIVO
Cisaprida 30 tabletas 5mg,ANTIBIOTICOS DE MEXICO,CISAPRIDA,GASTROENTEROLOGÍA,7501349028326,ANTIBIOTICOS DE MEXICO,ACTIVO
Sonsval 1mg/g crema 15g,SONSVAL,ESTRIOL,GINECOLOGÍA,7502001166998,SON'S,ACTIVO
Go-on inyectable 2.5ml solucion jeringa prellenada,GO-ON,HIALURONATO DE SODIO,REUMATOLOGÍA,8019561161114,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Somnocal 5 ampolletas 5mg/5ml,SOMNOCAL,MIDAZOLAM,NEUROLOGÍA,7501493874664,KENER,ACTIVO
D vi solución vitamina d gotero 10ml,DI-VI-SOL,COLECALCIFEROL,MULTIVITAMÍNICOS,7501300421197,SIEGFRIED RHEIN,ACTIVO
NARTEX POMADA DE ÁRNICA 28 GR DUOPACK,NARTEX,ÁRNICA,ANALGÉSICOS,7501358130171,NARTEX LAB,ACTIVO
Galaver 1 gel 8mg/1mg/250 ml,GALAVER,"DIMETICONA, MAGALDRATO",SISTEMA DIGESTIVO,7502009745027,BRUDIFARMA,ACTIVO
Eturion 30 tabletas 20mg,ETURION,ATORVASTATINA,CARDIOLOGÍA,7501070647025,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Broncho vaxo adulto 10 cápsulas 7 mg,BRONCHO VAXOM,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS,INFECTOLOGÍA,7502209290075,GRÜNENTHAL,ACTIVO
Jania 14 tabletas 2 mg,JANIA,TOLTERODINA,UROLOGÍA,7502009746314,MAVER,ACTIVO
Provera 10 mg oral 10 tabletas,PROVERA,MEDROXIPROGESTERONA,GINECOLOGÍA,300090050139,PFIZER,ACTIVO
Micardis plus 80/25 mg oral 14 tabletas,MICARDIS PLUS,"HIDROCLOROTIAZIDA, TELMISARTÁN",CARDIOLOGÍA,7501037946239,BOEHRINGER INGELHEIM MEXICO,ACTIVO
DALVEAR JARABE ADULTO FRESA FRASCO CON 120 ML.,DALVEAR,"BROMHEXINA, DROPROPIZINA",NEUMOLOGÍA,7501300421548,SIEGFRIED RHEIN,ACTIVO
Epival sprinkle 60 cápsulas 125mg,EPIVAL SPRINKLE,VALPROATO SEMISÓDICO,NEUROLOGÍA,7501033921292,ABBOTT,ACTIVO
Briviact 50mg/5ml solución 10x5ml,BRIVIACT,BRIVARACETAM,NEUROLOGÍA,5413787998005,UCB DE MEXICO S.A. DE C.V.,ACTIVO
Estomaquil expert 3 suspensión 240ml,ESTOMAQUIL,"CARBONATO DE CALCIO, HIDRÓXIDO DE MAGNESIO, SUBSALICILATO DE BISMUTO",GASTROENTEROLOGÍA,7501369200108,LABORATORIOS HIGIA S.A. DE C.,ACTIVO
Tusigen nf jarabe para adulto 150 ml frasco ambroxol 0.225 g,TUSIGEN NF,"AMBROXOL, DEXTROMETORFANO",NEUMOLOGÍA,7501299307847,LIOMONT OTC,ACTIVO
Atorlip 10 tabletas 40 mg,ATORLIP,ATORVASTATINA,CARDIOLOGÍA,785120754858,MAVI FARMACEUTICA,ACTIVO
Aspirina advanced 20 tabletas caja ácido acetilsalicílico 500 mg,ASPIRINA ADVANCED,ÁCIDO ACETILSALICÍLICO,ANALGÉSICOS,7501008498309,BAYER,ACTIVO
Controlip dual 30 tabletas 145/20mg,CONTROLIP,"FENOFIBRATO, SIMVASTATINA",CARDIOLOGÍA,7501033961809,ABBOTT,ACTIVO
Fermig 2 tabletas 50 mg,FERMIG,SUMATRIPTÁN,NEUROLOGÍA,7502227871065,RAAM,ACTIVO
DESKEFLAS SOLUCIÓN INYECTABLE 50MG 3 AMPOLLETAS 2ML,DESKEFLAS,DEXKETOPROFENO,REUMATOLOGÍA,7502226295725,ALPHARMA,ACTIVO
Libertrim solución inyectable 6 ampolletas 5ml,LIBERTRIM,TRIMEBUTINA,GASTROENTEROLOGÍA,7501124183271,CARNOT,ACTIVO
Gaelorax 60 tabletas 100mg,GAELORAX,QUETIAPINA,NEUROLOGÍA,7501075724684,NOVAG,ACTIVO
Vimpat 50mg tabletas 14,VIMPAT,LACOSAMIDA,NEUROLOGÍA,7501088506680,UCB DE MEXICO S.A. DE C.V.,ACTIVO
Babysons pomada tubo 30g,BABYSONS,DEXPANTENOL,CUIDADO DEL BEBÉ,7502001166578,SON'S,ACTIVO
Kaomycin 20 tabletas 129/30/280mg,KAOMYCIN,"CAOLÍN, NEOMICINA, PECTINA",SISTEMA DIGESTIVO,7501089809469,ARMSTRONG,ACTIVO
Doxon 10 tabletas 25mg,DOXON,DEXKETOPROFENO,NEUROLOGÍA,7502009746222,MAVER,ACTIVO
Flanax 550 analgésico antiinflamatorio 6 tabletas,FLANAX,NAPROXENO SÓDICO,ANALGÉSICOS,7501008498866,BAYER,ACTIVO
Mevedim 30 tabletas 600mg,MEVEDIM,DIOSMINA,CARDIOLOGÍA,7502240450834,WERMAR PHARMACEUTICALS,ACTIVO
Nosipren 30 tabletas 20 mg,NOSIPREN,PREDNISONA,ENDOCRINOLOGÍA,780083142827,COLLINS,ACTIVO
Regenesis max caja 60 cápsulas,REGENESIS MAX,"ÁCIDO FÓLICO, DHA, EPA",SUPLEMENTO ALIMENTICIO,7502235760184,EXELTIS,ACTIVO
Solucion hartmann 250 ml,DELMED,"CLORURO DE CALCIO, CLORURO DE POTASIO, CLORURO DE SODIO, LACTATO DE SODIO",SOLUCIONES HOSPITALARIAS,7506022303639,JAYOR,ACTIVO
Afrodit 99 capsulas 400 mg,AFRODIT,TOCOFERSOLÁN,SUPLEMENTO ALIMENTICIO,7503008344754,PROGELA PHARMA SA DE CV,ACTIVO
Lomecan v óvulo de 1 día infecciones vaginales 1 óvulo caja,LOMECAN,CLOTRIMAZOL,GINECOLOGÍA,650240033247,GENOMMA LAB,ACTIVO
Bioflusin 10 tabletas,BIOFLUSIN,"CLORFENAMINA, FENILEFRINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501563310573,BIORESEARCH,ACTIVO
Adytenn 30 tabletas 10mg,ADYTENN,ENALAPRIL,CARDIOLOGÍA,7502216791299,ULTRA LABORATORIOS,ACTIVO
Rixivoc 8 tabletas 400 mg,RIXIVOC,OFLOXACINO,INFECTOLOGÍA,7502227872017,RAAM,ACTIVO
TREMECOX 300/7.5MG TAB CAJ C/20,TREMECOX,GABAPENTINA,REUMATOLOGÍA,7501250838458,RIMSA,ACTIVO
Rupilip 10 mg oral 30 tabletas,RUPILIP,ROSUVASTATINA,CARDIOLOGÍA,7502216935242,MERCK,ACTIVO
ACLARIUM 3 TABLETAS 500MG,ACLARIUM,AZITROMICINA,INFECTOLOGÍA,7501300450562,WESER PHARMA,ACTIVO
Rovartal nf 10 mg oral 30 comprimidos,ROVARTAL NF,ROSUVASTATINA,CARDIOLOGÍA,7501300420077,SIEGFRIED RHEIN,ACTIVO
Tafitram 325/37.5mg comprimidos 20,TAFITRAM,"PARACETAMOL, TRAMADOL",NEUROLOGÍA,7841141003436,ASOFARMA,ACTIVO
Galactus pluma precargada 100ui/ml 3ml,GALACTUS,INSULINA GLARGINA,DIABETES,7501125187414,PISA,ACTIVO
Glicolic champu frasco 240ml,GLICOLIC,ÁCIDO GLICÓLICO,CUIDADO DE LA PIEL,7705849004143,ITALMEX,ACTIVO
Imodium 12 tabletas 2mg,IMODIUM,LOPERAMIDA,SISTEMA DIGESTIVO,7501109901067,KENVUE,ACTIVO
Eutirox 50 tabletas 88mcg,EUTIROX,LEVOTIROXINA SÓDICA,ENDOCRINOLOGÍA,7501298214399,MERCK,ACTIVO
Metoclopramida 6 ampolletas 10mg/2ml,ANTIBIOTICOS DE MEXICO,METOCLOPRAMIDA,GASTROENTEROLOGÍA,7501349024151,ANTIBIOTICOS DE MEXICO,ACTIVO
TEMPUS PHARMA ALPRAZOLAM 30 TABLETAS 2 MG,TEMPUS PHARMA,ALPRAZOLAM,NEUROLOGÍA,7501249600134,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Biomics 6 capsulas 400mg,BIOMICS,CEFIXIMA,INFECTOLOGÍA,7501314701322,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
BRONCHO VAXOM ADULTO LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS 7 MG CON 30 CÁPSULAS,BRONCHO VAXOM,LISADOS BACTERIANOS LIOFILIZADO,INFECTOLOGÍA,7506395000012,GRÜNENTHAL,ACTIVO
Coversam 5/5mg comprimidos 30,COVERSAM,"AMLODIPINO, PERINDOPRIL",CARDIOLOGÍA,5391189200851,BECKMAN LABORATORIES DE MEXICO,ACTIVO
Italdermol gasas 10 sobres 12g,ITALDERMOL,TRITICUM VULGARE,DERMATOLOGÍA,7501390911042,ITALMEX,ACTIVO
Clindamicina 1 ampolleta 600mg/4ml,ANTIBIOTICOS DE MEXICO,CLINDAMICINA,GINECOLOGÍA,7501349021860,ANTIBIOTICOS DE MEXICO,ACTIVO
Elunei 14 tabletas caja lacosamida 50 mg,ELUNEI,LACOSAMIDA,NEUROLOGÍA,7506442701558,ZYDUS,ACTIVO
Donepezilo 28 tabletas 5mg,,DONEPEZILO,NEUROLOGÍA,7506442701817,CAMBER,ACTIVO
Ácido fólico 20 tabletas 5mg,,ÁCIDO FÓLICO,MULTIVITAMÍNICOS,7501446000010,VALDECASAS,ACTIVO
Elequine 7 tabletas 500mg,ELEQUINE,LEVOFLOXACINO,INFECTOLOGÍA,7501100069100,JANSSEN CILAG DE MEXICO,ACTIVO
Clonazepam frasco gotero 2.5mg/10ml,,CLONAZEPAM,NEUROLOGÍA,7501384502423,PSICOFARMA,ACTIVO
Posipen 500 mg oral 12 capsulas,POSIPEN,DICLOXACILINA,INFECTOLOGÍA,7501070634810,SANFER,ACTIVO
Febrax 5 supositorios 100/200mg,FEBRAX,"NAPROXENO SÓDICO, PARACETAMOL",NEUROLOGÍA,7501300407054,SIEGFRIED RHEIN,ACTIVO
Vick 44 para tos seca y con flemas sabor cereza 240 ml botella guaifenesina 1.33,VICK,"DEXTROMETORFANO, GUAIFENESINA",SISTEMA RESPIRATORIO,7501001168933,PROCTER & GAMBLE,ACTIVO
Ketorolaco 10 mg clorhidrato de tramadol 25 mg mg mavidol tr sublingual 4 tabletas caja,MAVIDOL TR,"KETOROLACO, TRAMADOL",NEUROLOGÍA,785120755022,MAVI FARMACEUTICA,ACTIVO
Cloropiramina 25mg 20 tabletas,,CLOROPIRAMINA,ALERGOLOGÍA,821998000250,SCHOEN,ACTIVO
Haloperil 6 ampolletas 5mg/ml,HALOPERIL,HALOPERIDOL,NEUROLOGÍA,7501384541521,PSICOFARMA,ACTIVO
Allegra 10 comprimidos 120mg,ALLEGRA,FEXOFENADINA,SISTEMA RESPIRATORIO,7501165001718,SANOFI AVENTIS (CHC),ACTIVO
ROLET CAJA CON 15 TABLETAS DE 40 MG,ROLET,TELMISARTÁN,CARDIOLOGÍA,7501300421647,SIEGFRIED RHEIN,ACTIVO
Valprosid 30 tabletas 250mg,VALPROSID,VALPROATO SEMISÓDICO,NEUROLOGÍA,7501089801449,ARMSTRONG,ACTIVO
Pemix 1mg/5ml solución 120ml,PEMIX,CINITAPRIDA,GASTROENTEROLOGÍA,7501289501415,GRÜNENTHAL,ACTIVO
Lodestar zid 30 tabletas 50/12.5mg,LODESTAR ZID,"HIDROCLOROTIAZIDA, LOSARTÁN",CARDIOLOGÍA,7501299307144,LIOMONT RX,ACTIVO
Amlodipino kener 30 tabletas 5mg,LALPRO,AMLODIPINO,CARDIOLOGÍA,7501493865921,KENER,ACTIVO
Merrem iv 10 ampolletas 500mg,MERREM,MEROPENEM,GINECOLOGÍA,7501287630988,PFIZER,ACTIVO
Dolxen 10 tabletas 500 mg,DOLXEN,NAPROXENO,ANALGÉSICOS,7502009741593,MAVER,ACTIVO
Amoxiclav suspensión frasco 250mg/75ml,AMOXICLAV,"ÁCIDO CLAVULÁNICO, AMOXICILINA",INFECTOLOGÍA,7501125109485,PISA,ACTIVO
Lysomucil 20 tabletas efervescentes 600mg,LYSOMUCIL,ACETILCISTEÍNA,NEUMOLOGÍA,7502209710108,LABORATORIOS CONCORDIA,ACTIVO
Dabex xr 30 tabletas 750mg,DABEX XR,METFORMINA,DIABETES,7501298213569,MERCK,ACTIVO
Viravir 75 mg oral 28 capsulas,VIRAVIR,PREGABALINA,NEUROLOGÍA,7501314703869,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Augmentin 12h suspensión junior frasco 60ml,AUGMENTIN,"ÁCIDO CLAVULÁNICO, AMOXICILINA",INFECTOLOGÍA,7501064550768,GLAXOSMITHKLINE,ACTIVO
Vastionin 10mg 30 cápsulas caja,VASTIONIN,ISOTRETINOÍNA,DERMATOLOGÍA,7502002461160,COSMIATRIA,ACTIVO
Mistan 14 tabletas 90mg,MISTAN,ETORICOXIB,REUMATOLOGÍA,7501300420718,SIEGFRIED RHEIN,ACTIVO
Vylkor 10 tabletas 8mg,VYLKOR,ONDANSETRÓN,GASTROENTEROLOGÍA,7502227870716,RAAM,ACTIVO
Mazda 10 cápsulas 150mg,MAZDA,VENLAFAXINA,NEUROLOGÍA,7501125153488,PISA,ACTIVO
Levonorgestrel etinilestradiol 21 tabletas 0.15/0.03mg,,"ETINILESTRADIOL, LEVONORGESTREL",GINECOLOGÍA,7501644707506,QUÍMICA Y FARMACIA,ACTIVO
Arnica nartex ungüento 30g,,ÁRNICA,ANALGÉSICOS,7501358161700,NARTEX LAB,ACTIVO
Zanidip 10 mg oral 30 tabletas,ZANIDIP,LERCANIDIPINO,CARDIOLOGÍA,7501070615451,SANFER,ACTIVO
Atalak sport 1 crema 60g/1 %,ATALAK,DICLOFENACO,ANALGÉSICOS,7502001160118,SON'S,ACTIVO
LEVOCARNITINA KENER SOLUCIÓN 1G/5ML,KENTILEN,LEVOCARNITINA,GASTROENTEROLOGÍA,7501493873629,KENER,ACTIVO
Dualgos 20 tabletas 325/200 mg,DUALGOS,"IBUPROFENO, PARACETAMOL",ANALGÉSICOS,7501836009661,CEL MEDIKA SAPI DE CV,ACTIVO
Biperideno 30 tabletas 2mg,,BIPERIDENO,NEUROLOGÍA,7501384503369,PSICOFARMA,ACTIVO
Cardinit 7 parches 10mg/día,CARDINIT,TRINITRATO DE GLICERILO,CARDIOLOGÍA,7501285600426,ABBOTT,ACTIVO
Libonide suspensión p/nebulización 5 frascos 0.250mg/2ml,LIBONIDE,BUDESONIDA,NEUMOLOGÍA,7501125155659,PISA,ACTIVO
"Penprocilina 1 frasco con ampula 800,000 ui",PENPROCILINA,BENCILPENICILINA PROCAÍNA,INFECTOLOGÍA,7502009340161,LAKESIDE SALUD HUMANA SA DE CV,ACTIVO
Citalopram 14 tabletas 20 mg,ANTIBIOTICOS DE MEXICO,CITALOPRAM,NEUROLOGÍA,7501349024922,ANTIBIOTICOS DE MEXICO,ACTIVO
Exclefin 12 tabletas 2mg,EXCLEFIN,LOPERAMIDA,SISTEMA DIGESTIVO,7501573900283,BRUDIFARMA,ACTIVO
Rosel t 15 tabletas 300/50/3 mg,ROSEL-T,"AMANTADINA, CLORFENAMINA, PARACETAMOL",SISTEMA RESPIRATORIO,7503003738879,WERMAR PHARMACEUTICALS,ACTIVO
Seroquel xr 50 mg lib prol oral 30 tabletas,SEROQUEL XR,QUETIAPINA,NEUROLOGÍA,7501098605212,MOKSHA8,ACTIVO
Pralex 28 tabletas 10 mg,PRALEX,ESCITALOPRAM,NEUROLOGÍA,785120755442,MAVI FARMACEUTICA,ACTIVO
Bepanthen pomada 100 gr pomada tubo dexpantenol 5 gr,BEPANTHEN,DEXPANTENOL,CUIDADO DEL BEBÉ,7501008427330,BAYER,ACTIVO
Tabletas masticables pepto bismol sabor cereza c24,PEPTO-BISMOL,SUBSALICILATO DE BISMUTO,SISTEMA DIGESTIVO,7501001353377,PROCTER & GAMBLE,ACTIVO
Dermalive crema 0.05% tubo 30g,DERMALIVE,DESONIDA,DERMATOLOGÍA,7501258212687,LAKESIDE SALUD HUMANA SA DE CV,ACTIVO
Zentel dual suspensión 400/200mg frasco 20ml,ZENTEL DUAL,"ALBENDAZOL, QUINFAMIDA",INFECTOLOGÍA,7501070618971,SANFER,ACTIVO
Amaryl xm 16 tabletas 2/850mg,AMARYL XM,"GLIMEPIRIDA, METFORMINA",DIABETES,7501165008960,SANOFI PASTEUR,ACTIVO
Motruxia 10 tabletas 30mg,MOTRUXIA,ARIPIPRAZOL,NEUROLOGÍA,7501125176227,PISA,ACTIVO
Desenfriol d 12 tabletas,DESENFRIOL D,"CLORFENAMINA, FENILEFRINA, PARACETAMOL",SISTEMA RESPIRATORIO,7502276040375,BAYER,ACTIVO
Fayrus solucion infantil frasco 60ml,FAYRUS,"AMANTADINA, CLORFENAMINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501537102968,BRUDIFARMA,ACTIVO
Openvas co 412.5 mg oral 14 tabletas,OPENVAS CO,"HIDROCLOROTIAZIDA, OLMESARTÁN",CARDIOLOGÍA,7500326030048,A MENARINI MEXICO S A DE C V,ACTIVO
Diovan 14 tabletas 320mg,DIOVAN,VALSARTÁN,CARDIOLOGÍA,7501094915025,NOVARTIS,ACTIVO
Vinza 0.5/2.5 mg con 10 ampolletas de 2.5 ml,VINZA,"BROMURO DE IPRATROPIO, SALBUTAMOL",NEUMOLOGÍA,7501125160646,PISA,ACTIVO
Ficonax 500mg tabletas con 60,FICONAX,METFORMINA,DIABETES,7501125188879,PISA,ACTIVO
Zaldiar 37.5 mg/325 mg 20 tabletas efervesentes,ZALDIAR,"PARACETAMOL, TRAMADOL",NEUROLOGÍA,7502209290730,GRÜNENTHAL,ACTIVO
Zoltum 14 tabletas caja pantoprazol 40 mg,ZOLTUM,PANTOPRAZOL,GASTROENTEROLOGÍA,7501871721481,ASOFARMA,ACTIVO
Cefotaxima iv 4 ampolletas 1g/4ml,ANTIBIOTICOS DE MEXICO,CEFOTAXIMA,INFECTOLOGÍA,7501349022133,ANTIBIOTICOS DE MEXICO,ACTIVO
Argentafil suspensión spray frasco 120ml,ARGENTAFIL,SULFADIAZINA DE PLATA,DERMATOLOGÍA,7501122900368,BAUSCH HEALTH,ACTIVO
Ácido fólico 20 tabletas 5mg,,ÁCIDO FÓLICO,MULTIVITAMÍNICOS,7502010580969,LABORATORIOS SYDENHAM,ACTIVO
Expicin 1 suspensión 90 ml,EXPICIN,AMPICILINA,INFECTOLOGÍA,7502001161191,SON'S,ACTIVO
Sheldy 0.5mg tabletas 2,SHELDY,CABERGOLINA,GINECOLOGÍA,7503001800561,CORNE,ACTIVO
Tolterodina 14 tabletas 2mg,,TOLTERODINA,UROLOGÍA,7502216795051,ULTRA LABORATORIOS,ACTIVO
Afleno 10 tabletas 600 mg,AFLENO,IBUPROFENO,ANALGÉSICOS,7502208894540,BRUDIFARMA,ACTIVO
Xarelto 10 mg oral 10 comprimidos,XARELTO,RIVAROXABAN,HEMATOLOGÍA,7501318600508,BAYER,ACTIVO
Raypid 600mg tabletas 14,RAYPID,GEMFIBROZILO,CARDIOLOGÍA,7502003386561,RAYERE,ACTIVO
Oxal infantil 4 a 6 años 10 ml suspensión gotero quinfamida 100 mg,OXAL,"ALBENDAZOL, QUINFAMIDA",SISTEMA DIGESTIVO,7501086300136,SANFER,ACTIVO
Ordegan 30 capsulas 10/25 mg,ORDEGAN,"KETOROLACO, TRAMADOL",ANALGÉSICOS,7502227874219,RAAM,ACTIVO
WERNICROS OSELTAMIVIR 75 MG CON 10 CÁPSULAS,WERNICROS,OSELTAMIVIR,GINECOLOGÍA,7502240450902,WERMAR PHARMACEUTICALS,ACTIVO
SEGMIR 10 TABLETAS 30MG,SEGMIR,MIRTAZAPINA,NEUROLOGÍA,8901120007578,ZYDUS,ACTIVO
Belara cd 28 tabletas 0.03/2mg,BELARA CD,"CLORMADINONA, ETINILESTRADIOL",GINECOLOGÍA,7502209291195,GRÜNENTHAL,ACTIVO
Aliren jarabe frasco 60ml,ALIREN,"AMANTADINA, CLORFENAMINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501300420558,SIEGFRIED RHEIN,ACTIVO
Bepanthen pomada tubo 30gr,BEPANTHEN,DEXPANTENOL,DERMATOLOGÍA,7501008498798,BAYER,ACTIVO
Supacid 40 mg 1+1 oral 7 tabletas,SUPACID,PANTOPRAZOL,GASTROENTEROLOGÍA,7501125163685,PISA,ACTIVO
MEJORALITO PED 80MG TAB C30,MEJORALITO,PARACETAMOL,ANALGÉSICOS,7451079003523,HALEON,ACTIVO
Rinofren comprimidos 24,RINOFREN,"CLORFENAMINA, FENILEFRINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501124103514,CARNOT,ACTIVO
Hyzaar 30 tabletas 100/12.5mg,HYZAAR,"HIDROCLOROTIAZIDA, LOSARTÁN",CARDIOLOGÍA,7501326007368,ORGANON COMERCIALIZADORA,ACTIVO
Pantozol p20 20 mg oral 7 grageas,PANTOZOL,PANTOPRAZOL,GASTROENTEROLOGÍA,7501092786016,TAKEDA,ACTIVO
Biofilen 28 tabletas 100 mg,BIOFILEN,ATENOLOL,CARDIOLOGÍA,7501825301752,DEGORT´S CHEMICAL,ACTIVO
Janumet 56 comprimidos 50/500mg,JANUMET,"METFORMINA, STAGLIPTINA",DIABETES,7501326004190,MERCK SHARP & DOHME,ACTIVO
Parkpex 0.25mg 30 tabletas,PARKPEX,PRAMIPEXOL,NEUROLOGÍA,8901120012220,ZYDUS,ACTIVO
Lexapro 28 tabletas 20mg,LEXAPRO,ESCITALOPRAM,NEUROLOGÍA,7503003746348,LUNDBECK MEXICO,ACTIVO
Venibyk 28 tabletas 50mg,VENIBYK,BICALUTAMIDA,ONCOLOGÍA,7502216797420,WESER PHARMA,ACTIVO
Q-mind 100mg tabletas 30,Q-MIND,QUETIAPINA,NEUROLOGÍA,8903855060002,LABORATORIOS TORRENT,ACTIVO
Benolaxe 10 cápsulas 75mg,BENOLAXE,VENLAFAXINA,NEUROLOGÍA,7502225090789,LANDSTEINER,ACTIVO
ADVIL 12HRS 6 TAB,ADVIL,IBUPROFENO,ANALGÉSICOS,7501065065322,HALEON,ACTIVO
Olavac 30 tabletas 10 mg,OLAVAC,ENALAPRIL,CARDIOLOGÍA,7502227872246,RAAM,ACTIVO
Jardianz duo 5 mg/850 mg 60 tabletas,JARDIANZ DUO,"EMPAGLIFLOZINA, METFORMINA",DIABETES,7501034645166,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Zunun 500 mg 30 tabletas,ZUNUN,CITICOLINA,CARDIOLOGÍA,7503006916571,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
Tamsulosina 0.4mg capsula 20,,TAMSULOSINA,UROLOGÍA,7501361681349,SANOFI PASTEUR,ACTIVO
Alka seltzer lima limón 12 tabletas caja bicarbonato de sodio 1.7 g,ALKA SELTZER,"ÁCIDO ACETILSALICÍLICO, ÁCIDO CÍTRICO, BICARBONATO DE SODIO",SISTEMA DIGESTIVO,7501008443194,BAYER,ACTIVO
Redoxon forte 10 tabletas caja vitamina c 2 g,REDOXON,ÁCIDO ASCÓRBICO,NEUMOLOGÍA,7501008409503,BAYER,ACTIVO
Adimod solución 10 frascos monodosis 400mg/7ml,ADIMOD,PIDOTIMOD,ONCOLOGÍA,7501089808936,ARMSTRONG,ACTIVO
CO DEGREGAN TAB C28,CO-DEGREGAN,CLOPIDOGREL,HEMATOLOGÍA,7501299309964,LIOMONT RX,ACTIVO
Kenciclen 10 cápsulas 100mg,KENCICLEN,DOXICICLINA,INFECTOLOGÍA,7501493888302,KENER,ACTIVO
Zyrtec 10 tabletas caja cetirizina 10 mg,ZYRTEC,CETIRIZINA,ALERGOLOGÍA,7501088507168,ARMSTRONG,ACTIVO
Bonadoxina 25 tabletas 25mg,BONADOXINA,"MECLIZINA, PIRIDOXINA",GASTROENTEROLOGÍA,7501287678034,PFIZER,ACTIVO
Ormoprim 20 tabletas 80/400 mg,ORMOPRIM,"SULFAMETOXAZOL, TRIMETOPRIMA",INFECTOLOGÍA,7501385490279,HORMONA,ACTIVO
Trama/paracetamol 20 tabletas 37.5/325 mg,ANTIBIOTICOS DE MEXICO,"PARACETAMOL, TRAMADOL",ANALGÉSICOS,7501349029415,ANTIBIOTICOS DE MEXICO,ACTIVO
Clorhexi-gum enjua buc 0.12% spray 35ml,CLORHEXI-GUM,CLORHEXIDINA,HIGIENE ORAL,7503017405064,PISA,ACTIVO
Eritrovier-s 1 suspensión 125mg/100 ml,ERITROVIER-S,ERITROMICINA,INFECTOLOGÍA,7501471887204,TECNOFARMA,ACTIVO
Predial plus 30 tabletas 850 mg,PRE-DIAL,METFORMINA,DIABETES,7501101649219,LABORATORIOS SILANES,ACTIVO
Exel solución inyectable 3 ampolletas 15mg,EXEL,MELOXICAM,REUMATOLOGÍA,7501314703449,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
